"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2016.45,"Yes",6,12,2016,"Orlando","FL","Omar Mateen","Public place(s)",102,49,53,0,0,0,"Partly",16964,0,1,TRUE,"The perpetrator opened fire at a nightclub, killing 49, and injuring 53.","","https://bit.ly/2JJzO9w ","https://abc7.ws/2SQVfcT ","https://bit.ly/2D6OCxm ","https://read.bi/2Osvr3h ","https://bit.ly/2Rz3vN0 ","https://cnn.it/2qupGIC ","https://wapo.st/2Pfpr3c ","https://ti.me/2PDqUjh ","https://bit.ly/2ANU6f4 ","https://bit.ly/2yTX0h3","","",""
2016.14,"Yes",2,20,2016,"Kalamazoo","MI","Jason Dalton","Public place(s)",8,6,2,0,0,0,"No",16851,0,1,TRUE,"The perpetrator, an Uber driver, shot at people between picking up clients, killing six and wounding two.","","https://bit.ly/2gblqsT ","https://bit.ly/2zwcZRP ","https://bit.ly/2Pbtxcu ","https://bit.ly/1UYJ1vZ","","","","","","","","",""
2015.92,"Yes",12,2,2015,"San Bernardino","CA","Rizwan Farook and Tashfeen Malik","Workplace",36,14,22,0,0,0,"Partly",16771,0,1,TRUE,"The perpetrators opened fire on co-workers at an office party, killing 14 and wounding 21.","","https://cnn.it/2AOA307 ","https://cnn.it/2AOA307 ","https://bit.ly/2GDKXqF ","https://lat.ms/2JIUKgO ","https://bit.ly/2PKXzTK ","https://nyti.ms/2F5EnvX ","https://abc7.ws/2PbjDHX ","https://bbc.in/1jCr4D2 ","https://lat.ms/2JMBKhy ","https://every.tw/2JPBIVz ","https://bit.ly/2quxdr0 ","https://bit.ly/2fOWzej ","https://bit.ly/2DmLcYB"
2015.75,"Yes",10,1,2015,"Roseburg","OR","Christopher Harper-Mercer","School",17,9,8,0,0,0,"Partly",16709,0,1,TRUE,"The perpetrato opened fire on his writing class at the college, killing nine, and wounding nine more.","","https://bit.ly/2RDXoXI ","https://bit.ly/2SRtxwk ","https://bit.ly/1JMjB9V ","https://bit.ly/2OsVRC4 ","https://lat.ms/2PiCEIE","","","","","","","",""
2015.54,"Yes",7,16,2015,"Chattanooga","TN","Youssuf Abdulazeez","Public place(s)",7,5,2,0,0,0,"No",16632,0,1,TRUE,"The perpetrator opened fire at a military recruiting center from the parking lot, wounding a marine. He then drove to US Navy reserve center, where he killed five and wounded one more.","","https://on.wsj.com/2OuFlRN ","http://bit.ly/2qwb4IX ","http://bit.ly/2RFMzES ","https://nbcnews.to/2SQhSxZ ","https://wapo.st/2SKi9Tb","","","","","","","",""
2015.46,"Yes",6,17,2015,"Charleston","SC","Dylann Storm Roof","Public place(s)",10,9,1,0,0,0,"No",16603,0,1,TRUE,"Perpetrator opened fire at a church, killing nine and wounding one.","","http://bit.ly/2APRbCB ","https://abcn.ws/2AOwC9v ","http://bit.ly/2APNcWs ","http://bit.ly/2AOnamK","","","","","","","","",""
2014.81,"Yes",10,24,2014,"Marysville","WA","Jaylen Fryberg","School",5,4,1,0,0,0,"Yes",16367,0,1,FALSE,"Perpetator opened fire at his school, killing five and wounding one.","","https://nbcnews.to/2PVKXJH ","https://bit.ly/2Plx1t3 ","https://bit.ly/1KoOQsi ","https://cnn.it/2Dfknoe ","https://bit.ly/2QCpyCz","","","","","","","",""
2014.14,"Yes",2,20,2014,"Alturas","CA","Cherie Lash Rhoades","Public place(s)",6,4,2,0,0,0,"Yes",16121,0,1,FALSE,"Perpetrator opened fire at Cdarville Rancheria tribal offices and community center, kiling four and wounding two.","","https://bit.ly/2DAu9Cf ","https://bit.ly/2OFpikl ","https://every.tw/2JPBIVz ","https://cbsn.ws/2Po6Dyx ","https://bit.ly/2p0xbFv","","","","","","","",""
2013.71,"Yes",9,16,2013,"Washington Navy Yard","DC","Aaron Alexis","Workplace",15,12,3,0,0,0,"No",15964,0,1,TRUE,"Perpetrator opened fire at the Washing DC Navy yard, killing 12 and wounding eight.","","https://cnn.it/2qKtplr ","https://read.bi/2PsAzcX ","https://bit.ly/2PlOUYN ","https://abcn.ws/2DeVCIN ","https://bit.ly/2JXwxDv ","https://dailym.ai/2QCv5ZJ ","http://bit.ly/2OFuaG0 ","https://wapo.st/2Fk5vaS","","","","",""
2013.2,"Yes",3,13,2013,"Herkimer","NY","Kurt Myers","Public place(s)",6,4,2,0,0,0,"Partly",15777,0,1,FALSE,"The perpetrator shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.","","http://bit.ly/2Fgj8HW ","https://nyti.ms/2DB3QvA","","","","","","","","","","",""
